,dipolarophile
39,CNC(=O)/C(F)=C(/F)C(=O)NC
40,CNC(=O)C(C(=O)NC)=C(C(=O)OC)C(=O)OC
41,O/C(Cl)=C(\O)Cl
42,CC(C)=C(Br)Br
43,COC(=O)/C(Br)=C(/Br)C(=O)OC
44,CC(=O)C=C(C(C)=O)C(C)=O
45,CC(C)=C(C)C(F)(F)F
46,CC(=O)/C(O)=C(/O)C(C)=O
47,CNC(=O)C(C(=O)NC)=C(C(=O)NC)C(=O)OC
48,CNC(=O)C(O)=C(O)O
49,C/C(O)=C(/C)O
50,CC(Br)=C(Br)Br
51,CC(=O)/C(=C(\C(C)=O)c1ccccc1)c1ccccc1
52,CNC(=O)C(F)=C(C(=O)NC)C(=O)NC
53,CC(=O)/C(=C(/C(C)=O)c1ccccc1)c1ccccc1
54,COC(=O)C(C(=O)OC)=C(C(C)=O)C(C)=O
55,CNC(=O)C(C(=O)NC)=C(C(=O)NC)C(F)(F)F
56,COC(=O)C(C(=O)OC)=C(C(=O)OC)C(F)(F)F
57,C/C(=C(/C)C(F)(F)F)C(F)(F)F
58,F/C(=C(\F)c1ccccc1)c1ccccc1
59,CNC(=O)/C(Cl)=C(\Cl)C(=O)NC
60,FC(F)=C(c1ccccc1)c1ccccc1
61,CC(=O)/C(Cl)=C(/Cl)C(C)=O
62,Cl/C(=C(/Cl)c1ccccc1)c1ccccc1
63,C=CC(C)=O
64,FC(F)(F)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
65,C=C(C)C
66,C/C(=C(\C)c1ccccc1)c1ccccc1
67,N#C/C(=C(\C#N)c1ccccc1)c1ccccc1
68,CNC(=O)C(F)=C(F)F
69,OC(=C(c1ccccc1)c1ccccc1)c1ccccc1
70,O/C(=C(/O)c1ccccc1)c1ccccc1
71,CC(=O)/C(C)=C(\C)C(C)=O
72,COC(=O)C(C#N)=C(C(=O)OC)C(=O)OC
73,CC(=O)C(O)=C(O)O
74,CC(=O)/C(C#N)=C(\C#N)C(C)=O
75,N#C/C(O)=C(/O)C#N
76,COC(=O)C(C(=O)OC)=C(c1ccccc1)c1ccccc1
77,CNC(=O)/C(C(=O)OC)=C(\C(=O)NC)C(=O)OC
78,FC(F)(F)/C(=C(\c1ccccc1)C(F)(F)F)c1ccccc1
79,CNC(=O)/C(F)=C(\F)C(=O)NC
80,CC=C(C)C
81,CC(=O)C(C#N)=C(C#N)C#N
82,CC(=O)/C(Br)=C(/Br)C(C)=O
83,C/C(=C(/C)c1ccccc1)c1ccccc1
84,C/C(C#N)=C(\C)C#N
85,CC(C)=C(C(F)(F)F)C(F)(F)F
86,CNC(=O)C(C(=O)NC)=C(F)F
87,C/C(=C(\C)C(F)(F)F)C(F)(F)F
88,COC(=O)C(Cl)=C(Cl)Cl
89,CNC(=O)C(C(=O)NC)=C(C#N)C#N
90,C=CC
91,CNC(=O)/C(O)=C(\O)C(=O)NC
92,N#CC(=C(c1ccccc1)c1ccccc1)c1ccccc1
93,CC(F)=C(F)F
94,COC(=O)/C(C#N)=C(/C#N)C(=O)OC
95,CNC(=O)/C(=C(\C(=O)NC)c1ccccc1)c1ccccc1
96,CNC(=O)/C(C)=C(\C)C(=O)NC
97,C=CO
98,COC(=O)C(Cl)=C(C(=O)OC)C(=O)OC
99,COC(=O)/C(Cl)=C(/Cl)C(=O)OC
100,CNC(=O)C(Cl)=C(Cl)Cl
101,Cl/C(=C(\Cl)c1ccccc1)c1ccccc1
102,CNC(=O)C(C(=O)OC)=C(C(=O)OC)C(=O)OC
103,CC(C)=C(C)Br
104,CNC(=O)C(Cl)=C(C(=O)NC)C(=O)NC
105,CNC(=O)C(O)=C(C(=O)NC)C(=O)NC
106,CC(=O)/C=C/C(C)=O
107,C=Cc1ccccc1
108,COC(=O)/C(F)=C(\F)C(=O)OC
109,CC(=C(c1ccccc1)c1ccccc1)c1ccccc1
110,COC(=O)/C(Br)=C(\Br)C(=O)OC
111,COC(=O)/C(Cl)=C(\Cl)C(=O)OC
112,COC(=O)/C(=C(\C(=O)OC)C(F)(F)F)C(F)(F)F
113,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
114,CNC(=O)/C(O)=C(/O)C(=O)NC
115,COC(=O)C(C(=O)OC)=C(F)F
116,CC(=O)/C(O)=C(\O)C(C)=O
117,CC(=O)C(C)=C(C)C
118,CC(C)=C(F)F
119,COC(=O)/C=C\C(=O)OC
120,C/C(F)=C(/C)F
121,O/C=C\O
122,C/C=C\C
123,CC(=O)/C(Br)=C(\Br)C(C)=O
124,CC(=O)/C(=C(\C(C)=O)C(F)(F)F)C(F)(F)F
125,O/C(Br)=C(/O)Br
126,N#C/C(=C(/C#N)c1ccccc1)c1ccccc1
127,CNC(=O)/C(Cl)=C(/Cl)C(=O)NC
128,FC(F)=C(F)c1ccccc1
129,COC(=O)C(C(=O)OC)=C(C#N)C#N
130,CNC(=O)/C(Br)=C(\Br)C(=O)NC
131,CNC(=O)/C(C)=C(/C)C(=O)NC
132,C/C(C#N)=C(/C)C#N
133,CNC(=O)C(C#N)=C(C(=O)NC)C(=O)NC
134,C=CC(=O)OC
135,CC(C)=C(C)c1ccccc1
136,CNC(=O)C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
137,CC(=O)/C(=C(/C(C)=O)C(F)(F)F)C(F)(F)F
138,CC(=O)C(C(C)=O)=C(F)F
139,COC(=O)C=C(C(=O)OC)C(=O)OC
140,C/C(F)=C(\C)F
141,O/C(=C(\O)c1ccccc1)c1ccccc1
142,CC(=O)C(O)=C(C(C)=O)C(C)=O
143,OC(O)=C(Cl)Cl
144,Br/C(=C(\Br)c1ccccc1)c1ccccc1
145,CNC(=O)C(Br)=C(Br)Br
146,CC(=O)C(C(C)=O)=C(Br)Br
147,CC(=O)C(Br)=C(Br)Br
148,COC(=O)C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
149,CC(=O)/C(C)=C(/C)C(C)=O
150,CNC(=O)/C(C(C)=O)=C(\C(C)=O)C(=O)NC
151,CNC(=O)C(C(=O)NC)=C(Br)Br
152,CC(=O)C(C(C)=O)=C(C#N)C#N
153,CNC(=O)C(C(C)=O)=C(C(=O)NC)C(=O)NC
154,COC(=O)C(C(C)=O)=C(C(=O)OC)C(=O)OC
155,CC(C)=C(C)C#N
156,CC(O)=C(O)O
157,CC(=O)/C(F)=C(\F)C(C)=O
158,O/C(=C(/O)C(F)(F)F)C(F)(F)F
159,CNC(=O)/C(C(=O)OC)=C(/C(=O)NC)C(=O)OC
160,CC(C)=C(C)Cl
161,C/C(Br)=C(/C)Br
162,COC(=O)/C(=C(\C(=O)OC)c1ccccc1)c1ccccc1
163,CC(=O)C(C(C)=O)=C(O)O
164,CC(C)=C(O)O
165,OC(O)=C(O)F
166,COC(=O)C(C(=O)OC)=C(Cl)Cl
167,ClC(=C(c1ccccc1)c1ccccc1)c1ccccc1
168,CC(=O)C(C#N)=C(C(C)=O)C(C)=O
169,OC=C(O)O
170,CC(=O)C(C(C)=O)=C(C(C)=O)C(F)(F)F
171,CC(=O)/C=C\C(C)=O
172,COC(=O)C(O)=C(C(=O)OC)C(=O)OC
173,C=C(C(=O)OC)C(=O)OC
174,CC(C#N)=C(C#N)C#N
175,ClC(Cl)=C(c1ccccc1)c1ccccc1
176,OC(O)=C(O)c1ccccc1
177,OC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
178,OC(O)=C(C(F)(F)F)C(F)(F)F
179,CNC(=O)C(C(C)=O)=C(C(C)=O)C(C)=O
180,COC(=O)C(C)=C(C)C
181,C(=C(c1ccccc1)c1ccccc1)c1ccccc1
182,N#CC(O)=C(C#N)C#N
183,COC(=O)C(Br)=C(Br)Br
184,C/C(O)=C(\C)O
185,CC(=O)C(C)=C(C(C)=O)C(C)=O
186,CNC(=O)C(C(=O)NC)=C(O)O
187,COC(=O)C(C)=C(C(=O)OC)C(=O)OC
188,CC(C)=C(C#N)C#N
189,O/C=C/O
190,CC(=O)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
191,OC(Cl)=C(Cl)Cl
192,CC(=O)/C(F)=C(/F)C(C)=O
193,CC(=O)C(F)=C(C(C)=O)C(C)=O
194,CC(=O)C(C(C)=O)=C(Cl)Cl
195,CC(=O)/C(Cl)=C(\Cl)C(C)=O
196,CC(=O)C(Br)=C(C(C)=O)C(C)=O
197,CC(=O)C(Cl)=C(C(C)=O)C(C)=O
198,COC(=O)/C(O)=C(/O)C(=O)OC
199,FC(F)(F)C(=C(c1ccccc1)c1ccccc1)C(F)(F)F
200,COC(=O)C(C(=O)OC)=C(O)O
201,N#CC(C#N)=C(c1ccccc1)c1ccccc1
202,C/C(Br)=C(\C)Br
203,CNC(=O)C(C)=C(C)C
204,OC(O)=C(F)F
205,Br/C(=C(/Br)c1ccccc1)c1ccccc1
206,COC(=O)/C=C/C(=O)OC
207,COC(=O)/C(=C(/C(=O)OC)C(F)(F)F)C(F)(F)F
208,COC(=O)/C(C(C)=O)=C(/C(C)=O)C(=O)OC
209,O/C(=C(\O)C(F)(F)F)C(F)(F)F
210,OC(F)=C(F)F
211,CNC(=O)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
212,CC(=O)C(C(C)=O)=C(C(F)(F)F)C(F)(F)F
213,O/C(Cl)=C(/O)Cl
214,BrC(Br)=C(Br)c1ccccc1
215,COC(=O)C(C(=O)OC)=C(C(F)(F)F)C(F)(F)F
216,CNC(=O)C(C#N)=C(C#N)C#N
217,C=C(C(=O)NC)C(=O)NC
218,COC(=O)C(C(=O)OC)=C(C)C
219,COC(=O)C(O)=C(O)O
220,CNC(=O)C(C(=O)NC)=C(C(C)=O)C(C)=O
221,OC(O)=C(O)C(F)(F)F
222,OC(O)=C(Br)Br
223,CNC(=O)/C=C\C(=O)NC
224,FC(F)(F)C(=C(C(F)(F)F)C(F)(F)F)c1ccccc1
225,OC(O)=C(c1ccccc1)c1ccccc1
226,CNC(=O)/C(C#N)=C(\C#N)C(=O)NC
227,O/C(F)=C(/O)F
228,OC(O)=C(O)Br
229,CC(=O)/C(C#N)=C(/C#N)C(C)=O
230,COC(=O)C(Br)=C(C(=O)OC)C(=O)OC
231,CC(=O)C(F)=C(F)F
232,COC(=O)/C(=C(/C(=O)OC)c1ccccc1)c1ccccc1
233,COC(=O)/C(C(C)=O)=C(\C(C)=O)C(=O)OC
234,COC(=O)/C(C)=C(\C)C(=O)OC
235,C/C(Cl)=C(/C)Cl
236,FC(F)(F)/C(=C(/c1ccccc1)C(F)(F)F)c1ccccc1
237,CC(=O)C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
238,CNC(=O)C(C(=O)NC)=C(c1ccccc1)c1ccccc1
239,C(=C\c1ccccc1)\c1ccccc1
240,CNC(=O)C(C(=O)NC)=C(C(=O)NC)c1ccccc1
241,C/C(Cl)=C(\C)Cl
242,N#CC(C#N)=C(C#N)c1ccccc1
243,FC(=C(c1ccccc1)c1ccccc1)c1ccccc1
244,BrC(Br)=C(c1ccccc1)c1ccccc1
245,CNC(=O)/C(=C(/C(=O)NC)c1ccccc1)c1ccccc1
246,CNC(=O)C(C(=O)NC)=C(Cl)Cl
247,CNC(=O)/C(Br)=C(/Br)C(=O)NC
248,CNC(=O)C(Br)=C(C(=O)NC)C(=O)NC
249,COC(=O)/C(F)=C(/F)C(=O)OC
250,CNC(=O)/C(C(C)=O)=C(/C(C)=O)C(=O)NC
251,COC(=O)C(C(=O)OC)=C(Br)Br
252,N#CC(O)=C(O)O
253,C=CC(=O)NC
254,C(=C/c1ccccc1)\c1ccccc1
255,CC#CC(=O)OC
256,CC#CCl
257,CC#CC
258,ClC#Cc1ccccc1
259,COC(=O)C#CF
260,OC#CO
261,CC#Cc1ccccc1
262,CC(=O)C#CBr
263,C#CC(=O)OC
264,C#CC(C)=O
265,CC#CC#N
266,CNC(=O)C#CC(=O)NC
267,CNC(=O)C#CC#N
268,COC(=O)C#CCl
269,C#CC(=O)NC
270,OC#CBr
271,COC(=O)C#CBr
272,C#CC
273,C#CO
274,CC#CC(C)=O
275,CC(=O)C#CCl
276,FC(F)(F)C#Cc1ccccc1
277,COC(=O)C#CC(F)(F)F
278,CNC(=O)C#CCl
279,OC#CF
280,COC(=O)C#Cc1ccccc1
281,OC#CCl
282,CC(=O)C#CO
283,CC#CC(F)(F)F
284,CNC(=O)C#CO
285,CNC(=O)C#Cc1ccccc1
286,COC(=O)C#CO
287,CNC(=O)C#CC(=O)OC
288,CC#CBr
289,CC(=O)C#CC#N
290,CC(=O)C#CC(F)(F)F
291,FC#Cc1ccccc1
292,CC#CF
293,COC(=O)C#CC(C)=O
294,CNC(=O)C#CF
295,N#CC#CO
296,C#Cc1ccccc1
297,COC(=O)C#CC(=O)OC
298,CC(=O)C#CF
299,CNC(=O)C#CC(F)(F)F
300,BrC#Cc1ccccc1
301,CC(=O)C#CC(C)=O
302,CNC(=O)C#CC(C)=O
303,OC#CC(F)(F)F
304,CC#CC(=O)NC
305,CC(=O)C#Cc1ccccc1
306,C(#Cc1ccccc1)c1ccccc1
307,CNC(=O)C#CBr
308,N#CC#Cc1ccccc1
309,CC#CO
310,COC(=O)C#CC#N
311,OC#Cc1ccccc1
312,OC1=C(Cl)C2CCC1C2
313,CC(=O)C1=C(O)C2CCC1C2
314,CNC(=O)C1=C(c2ccccc2)C2CCC1C2
315,CC(=O)C1=CC2CCC1C2
316,CNC(=O)C1=C(C)C2CCC1C2
317,CC(=O)C1=C(Br)C2CCC1C2
318,N#CC1=C(O)C2CCC1C2
319,BrC1=C(Br)C2CCC1C2
320,CC1=C(C)C2CCC1C2
321,COC(=O)C1=C(C)C2CCC1C2
322,CC(=O)C1=C(C#N)C2CCC1C2
323,CNC(=O)C1=C(C#N)C2CCC1C2
324,OC1=C(O)C2CCC1C2
325,COC(=O)C1=C(C(F)(F)F)C2CCC1C2
326,BrC1=C(c2ccccc2)C2CCC1C2
327,COC(=O)C1=CC2CCC1C2
328,CC(=O)C1=C(C)C2CCC1C2
329,CC1=C(Cl)C2CCC1C2
330,COC(=O)C1=C(O)C2CCC1C2
331,ClC1=C(Br)C2CCC1C2
332,BrC1=CC2CCC1C2
333,COC(=O)C1=C(c2ccccc2)C2CCC1C2
334,CC(=O)C1=C(C(C)=O)C2CCC1C2
335,FC1=C(Br)C2CCC1C2
336,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
337,OC1=CC2CCC1C2
338,FC1=C(C(F)(F)F)C2CCC1C2
339,N#CC1=C(F)C2CCC1C2
340,FC(F)(F)C1=CC2CCC1C2
341,CC1=C(C(F)(F)F)C2CCC1C2
342,CNC(=O)C1=C(Br)C2CCC1C2
343,COC(=O)C1=C(C(=O)OC)C2CCC1C2
344,CC(=O)C1=C(c2ccccc2)C2CCC1C2
345,CNC(=O)C1=C(Cl)C2CCC1C2
346,N#CC1=C(C(F)(F)F)C2CCC1C2
347,CNC(=O)C1=C(O)C2CCC1C2
348,OC1=C(C(F)(F)F)C2CCC1C2
349,COC(=O)C1=C(F)C2CCC1C2
350,N#CC1=C(Cl)C2CCC1C2
351,ClC1=C(Cl)C2CCC1C2
352,FC1=C(Cl)C2CCC1C2
353,OC1=C(Br)C2CCC1C2
354,CNC(=O)C1=CC2CCC1C2
355,N#CC1=C(Br)C2CCC1C2
356,OC1=C(c2ccccc2)C2CCC1C2
357,c1ccc(C2=C(c3ccccc3)C3CCC2C3)cc1
358,C1=C(c2ccccc2)C2CCC1C2
359,N#CC1=CC2CCC1C2
360,FC(F)(F)C1=C(Cl)C2CCC1C2
361,FC1=C(c2ccccc2)C2CCC1C2
362,C1=CC2CCC1C2
363,CC1=C(F)C2CCC1C2
364,FC1=C(F)C2CCC1C2
365,CNC(=O)C1=C(F)C2CCC1C2
366,ClC1=C(c2ccccc2)C2CCC1C2
367,COC(=O)C1=C(Br)C2CCC1C2
368,CC1=C(c2ccccc2)C2CCC1C2
369,COC(=O)C1=C(C(C)=O)C2CCC1C2
370,CC(=O)C1=C(C(F)(F)F)C2CCC1C2
371,N#CC1=C(c2ccccc2)C2CCC1C2
372,CC(=O)C1=C(F)C2CCC1C2
373,CC1=CC2CCC1C2
374,CC(=O)C1=C(Cl)C2CCC1C2
375,COC(=O)C1=C(C#N)C2CCC1C2
376,CNC(=O)C1=C(C(=O)NC)C2CCC1C2
377,CC1=C(O)C2CCC1C2
378,ClC1=CC2CCC1C2
379,COC(=O)C1=C(Cl)C2CCC1C2
380,CNC(=O)C1=C(C(=O)OC)C2CCC1C2
381,CNC(=O)C1=C(C(F)(F)F)C2CCC1C2
382,CNC(=O)C1=C(C(C)=O)C2CCC1C2
383,N#CC1=C(C#N)C2CCC1C2
384,CC1=C(Br)C2CCC1C2
385,FC(F)(F)C1=C(c2ccccc2)C2CCC1C2
386,CC1=C(C#N)C2CCC1C2
387,FC(F)(F)C1=C(Br)C2CCC1C2
388,OC1=C(F)C2CCC1C2
389,FC1=CC2CCC1C2
390,CC1=C(c2ccccc2)C2C=CC1O2
391,CC(=O)C1=C(O)C2C=CC1O2
392,COC(=O)C1=C(F)C2C=CC1O2
393,CNC(=O)C1=C(O)C2C=CC1O2
394,COC(=O)C1=C(C(F)(F)F)C2C=CC1O2
395,CC(=O)C1=C(C#N)C2C=CC1O2
396,CC(=O)C1=C(C(C)=O)C2C=CC1O2
397,CNC(=O)C1=C(C(F)(F)F)C2C=CC1O2
398,N#CC1=C(c2ccccc2)C2C=CC1O2
399,COC(=O)C1=C(C(=O)OC)C2C=CC1O2
400,OC1=C(C(F)(F)F)C2C=CC1O2
401,C1=CC2C=CC1O2
402,BrC1=C(Br)C2C=CC1O2
403,CC1=C(Br)C2C=CC1O2
404,CNC(=O)C1=C(C(=O)NC)C2C=CC1O2
405,COC(=O)C1=C(Br)C2C=CC1O2
406,BrC1=C(c2ccccc2)C2C=CC1O2
407,FC(F)(F)C1=C(Cl)C2C=CC1O2
408,OC1=C(Br)C2C=CC1O2
409,OC1=C(c2ccccc2)C2C=CC1O2
410,CNC(=O)C1=C(Cl)C2C=CC1O2
411,CNC(=O)C1=C(C)C2C=CC1O2
412,N#CC1=C(Cl)C2C=CC1O2
413,FC(F)(F)C1=C(Br)C2C=CC1O2
414,CC(=O)C1=CC2C=CC1O2
415,CC1=C(C#N)C2C=CC1O2
416,C1=CC2OC1C(c1ccccc1)=C2c1ccccc1
417,CC(=O)C1=C(Cl)C2C=CC1O2
418,CC(=O)C1=C(F)C2C=CC1O2
419,FC1=C(c2ccccc2)C2C=CC1O2
420,CC1=C(F)C2C=CC1O2
421,ClC1=C(Br)C2C=CC1O2
422,CC1=C(Cl)C2C=CC1O2
423,COC(=O)C1=C(c2ccccc2)C2C=CC1O2
424,CC(=O)C1=C(c2ccccc2)C2C=CC1O2
425,OC1=C(F)C2C=CC1O2
426,CNC(=O)C1=C(Br)C2C=CC1O2
427,FC1=C(F)C2C=CC1O2
428,CC(=O)C1=C(C)C2C=CC1O2
429,N#CC1=C(O)C2C=CC1O2
430,CNC(=O)C1=C(C#N)C2C=CC1O2
431,COC(=O)C1=CC2C=CC1O2
432,CC(=O)C1=C(C(F)(F)F)C2C=CC1O2
433,FC1=C(Cl)C2C=CC1O2
434,N#CC1=C(C#N)C2C=CC1O2
435,CNC(=O)C1=C(F)C2C=CC1O2
436,CC1=C(C(F)(F)F)C2C=CC1O2
437,COC(=O)C1=C(C#N)C2C=CC1O2
438,COC(=O)C1=C(C(C)=O)C2C=CC1O2
439,OC1=C(Cl)C2C=CC1O2
440,BrC1=CC2C=CC1O2
441,COC(=O)C1=C(O)C2C=CC1O2
442,CC1=C(C)C2C=CC1O2
443,ClC1=CC2C=CC1O2
444,N#CC1=C(C(F)(F)F)C2C=CC1O2
445,N#CC1=CC2C=CC1O2
446,COC(=O)C1=C(C)C2C=CC1O2
447,OC1=CC2C=CC1O2
448,FC1=CC2C=CC1O2
449,CNC(=O)C1=C(C(C)=O)C2C=CC1O2
450,CNC(=O)C1=CC2C=CC1O2
451,FC(F)(F)C1=C(c2ccccc2)C2C=CC1O2
452,COC(=O)C1=C(Cl)C2C=CC1O2
453,FC(F)(F)C1=C(C(F)(F)F)C2C=CC1O2
454,N#CC1=C(Br)C2C=CC1O2
455,FC(F)(F)C1=CC2C=CC1O2
456,ClC1=C(Cl)C2C=CC1O2
457,ClC1=C(c2ccccc2)C2C=CC1O2
458,OC1=C(O)C2C=CC1O2
459,C1=CC2OC1C=C2c1ccccc1
460,CC1=C(O)C2C=CC1O2
461,FC1=C(Br)C2C=CC1O2
462,N#CC1=C(F)C2C=CC1O2
463,FC1=C(C(F)(F)F)C2C=CC1O2
464,CNC(=O)C1=C(C(=O)OC)C2C=CC1O2
465,CNC(=O)C1=C(c2ccccc2)C2C=CC1O2
466,CC(=O)C1=C(Br)C2C=CC1O2
467,CC1=CC2C=CC1O2
468,CC(=O)C1(C(C)=O)C#CC(O)(F)CCCC1
469,CC(=O)C1(Cl)C#CC(F)(F)CCCC1
470,CNC(=O)C1(C(=O)NC)C#CC(O)(c2ccccc2)CCCC1
471,CNC(=O)C1(Br)C#CC(F)(F)CCCC1
472,N#CC1(C#N)C#CC(C#N)(C(F)(F)F)CCCC1
473,CNC(=O)C1(C(=O)NC)C#CC(C#N)CCCC1
474,CNC(=O)C1(C(=O)NC)C#CC(C(F)(F)F)CCCC1
475,FC1C#CC(Br)(Br)CCCC1
476,CNC(=O)C1(C(=O)NC)C#CC(F)(C(F)(F)F)CCCC1
477,FC1(F)C#CC(c2ccccc2)(C(F)(F)F)CCCC1
478,CC(=O)C1(C(C)=O)C#CC(C#N)(c2ccccc2)CCCC1
479,N#CC1(O)C#CC(Br)(Br)CCCC1
480,CC1(C)C#CC(Br)CCCC1
481,COC(=O)C1(C(F)(F)F)C#CCCCCC1
482,CC1(C)C#CC(Cl)(c2ccccc2)CCCC1
483,COC(=O)C1(C(=O)OC)C#CC(C#N)(c2ccccc2)CCCC1
484,CNC(=O)C1(C(=O)NC)C#CC(C)(C(=O)OC)CCCC1
485,CNC(=O)C1(C(=O)OC)C#CC(C)(C)CCCC1
486,CC1(C)C#CC(C)(C)CCCC1
487,CC1(C)C#CC(Cl)(C#N)CCCC1
488,COC(=O)C1(C(=O)OC)C#CC(C#N)(C#N)CCCC1
489,CNC(=O)C1C#CC(c2ccccc2)(c2ccccc2)CCCC1
490,COC(=O)C1(C(F)(F)F)C#CC(C#N)(C#N)CCCC1
491,COC(=O)C1(C(=O)OC)C#CC(C#N)(C(F)(F)F)CCCC1
492,CC1(Br)C#CCCCCC1
493,CC1(C)C#CC(F)(c2ccccc2)CCCC1
494,OC1C#CC(F)(F)CCCC1
495,FC(F)(F)C1(C(F)(F)F)C#CC(Cl)CCCC1
496,CC1(c2ccccc2)C#CCCCCC1
497,CNC(=O)C1(C(=O)OC)C#CC(Cl)(Cl)CCCC1
498,CNC(=O)C1(Cl)C#CC(Cl)(Cl)CCCC1
499,CNC(=O)C1(C(=O)NC)C#CC(C(=O)OC)CCCC1
500,CNC(=O)C1(Br)C#CC(C(C)=O)(C(C)=O)CCCC1
501,CC(=O)C1(c2ccccc2)C#CC(O)(O)CCCC1
502,FC(F)(F)C1(F)C#CC(c2ccccc2)(c2ccccc2)CCCC1
503,COC(=O)C1(c2ccccc2)C#CC(C#N)(C#N)CCCC1
504,CNC(=O)C1(O)C#CC(F)(F)CCCC1
505,CC(=O)C1(F)C#CC(O)(O)CCCC1
506,CC(=O)C1(Br)C#CC(C#N)(C#N)CCCC1
507,CC(=O)C1(Cl)C#CC(C(C)=O)(C(C)=O)CCCC1
508,FC1(Br)C#CCCCCC1
509,CNC(=O)C1(Cl)C#CC(C#N)(C#N)CCCC1
510,CC(=O)C1(F)C#CC(F)(F)CCCC1
511,COC(=O)C1(C(=O)OC)C#CC(C(=O)OC)(C(F)(F)F)CCCC1
512,CC1(C)C#CC(O)(C#N)CCCC1
513,COC(=O)C1(C(C)=O)C#CC(C)(C)CCCC1
514,CC(=O)C1(C)C#CC(Br)(Br)CCCC1
515,COC(=O)C1(C)C#CC(c2ccccc2)(c2ccccc2)CCCC1
516,CNC(=O)C1(Br)C#CC(C(=O)OC)(C(=O)OC)CCCC1
517,CC(=O)C1(C)C#CC(C)(C)CCCC1
518,CNC(=O)C1(C(=O)NC)C#CC(C(C)=O)(C(=O)OC)CCCC1
519,CC(=O)C1(Br)C#CCCCCC1
520,CNC(=O)C1(C(F)(F)F)C#CC(Br)(Br)CCCC1
521,CC1(C)C#CC(Cl)CCCC1
522,COC(=O)C1(F)C#CC(Cl)(Cl)CCCC1
523,N#CC1(O)C#CC(c2ccccc2)(c2ccccc2)CCCC1
524,CNC(=O)C1(c2ccccc2)C#CC(C)(C)CCCC1
525,CNC(=O)C1(C(=O)NC)C#CC(Cl)(c2ccccc2)CCCC1
526,COC(=O)C1(C(=O)OC)C#CC(O)(C(F)(F)F)CCCC1
527,CNC(=O)C1(C)C#CC(c2ccccc2)(c2ccccc2)CCCC1
528,CNC(=O)C1(O)C#CC(Br)(Br)CCCC1
529,FC1C#CC(c2ccccc2)(c2ccccc2)CCCC1
530,CNC(=O)C1(C#N)C#CC(Br)(Br)CCCC1
531,ClC1C#CC(Cl)(Cl)CCCC1
532,COC(=O)C1(C(=O)OC)C#CC(C#N)(C(C)=O)CCCC1
533,N#CC1(Cl)C#CC(Cl)(Cl)CCCC1
534,CNC(=O)C1(Cl)C#CC(C(=O)OC)(C(=O)OC)CCCC1
535,CNC(=O)C1(C)C#CC(O)(O)CCCC1
536,BrC1(c2ccccc2)C#CCCCCC1
537,FC1(Cl)C#CC(c2ccccc2)(c2ccccc2)CCCC1
538,COC(=O)C1(Br)C#CC(O)(O)CCCC1
